,id,text,created_at,retweet_count,user_screen_name,user_followers_count,user_location,Hashtags
0,1122780406305177600,"RT @DrFulyaTezel: Cevap çok basit: Dolgu Tedavisi! 🤓 

Kişinin yaşı ilerledikçe yüz kemikleri birbirlerinden uzaklaşır ve göz çukurları dah…",2019-04-29 08:31:23,1,ankabotoks,233,"Ankara, Türkiye",[]
1,1122780393336442880,RT @tyasinnn: Mutlu bir hafta dilerim herkese.. 😀 #pazartesi https://t.co/3gJbucbWJd,2019-04-29 08:31:20,7,furkantekirli,4900,Türkiye,"[{'text': 'pazartesi', 'indices': [50, 60]}]"
2,1122780390865932289,"Allah sevdiklerimizi korusun🙏
İyi haftalar
 #pazartesi",2019-04-29 08:31:20,0,ElifYazed,17,"İzmir, Türkiye","[{'text': 'pazartesi', 'indices': [44, 54]}]"
3,1122780387074293760,"RT @Alinuraktas70: Yeni güne, yeni haftaya Bismillah.. Günümüz aydın, haftamız bereketli ve huzurlu olsun inşallah.
Cümleten #HayırlıHaftal…",2019-04-29 08:31:19,22,yusufaleee,144,"Bursa, Türkiye",[]
4,1122780375615528960,Günaydın herkese :) #Bursa #kerimcandurmaz #BattleOfWinterfell #pazartesi,2019-04-29 08:31:16,0,Serayveyildiz,38,"Görükle, Bursa","[{'text': 'Bursa', 'indices': [20, 26]}, {'text': 'kerimcandurmaz', 'indices': [27, 42]}, {'text': 'BattleOfWinterfell', 'indices': [43, 62]}, {'text': 'pazartesi', 'indices': [63, 73]}]"
5,1122780374457880583,Öğrencilerimize nasil iş birliği yaptirabilirz? Öğrencilerimizn iş birliği yaparak öğrendikleri bir hafta olması dileklerimzle ! #pazartesi,2019-04-29 08:31:16,0,egtmatematik,3167,,"[{'text': 'pazartesi', 'indices': [129, 139]}]"
6,1122780362663501824,"Sizi pazartesi sendromundan kurtaracak şarkılar İstanbul Plak Youtube kanalında. 🎤
 #istanbulplak #zekimüren… https://t.co/BeIDtAPRsY",2019-04-29 08:31:13,0,istanbulplak34,20,İMÇ 6. Blok No: 6203 Unkapanı- İstanbul,"[{'text': 'istanbulplak', 'indices': [84, 97]}, {'text': 'zekimüren', 'indices': [98, 108]}]"
7,1122780354472042497,RT @farukadas: İşte Avrupa bize insanlık dersi vermeye kalkışıyorlar biz Türkler olarak Tarihimizde hiç bir zaman katliam yapmadık.Ama sizi…,2019-04-29 08:31:11,4,_VezirTonyukuk_,8391,,[]
8,1122780353524117504,"Yapmayın dostlar!
Sizden haber bekleyen insanı bekletmeyin
Ertelemeyin!
Nasılsa o hep elinizin altında muamelesi ya… https://t.co/1hZQopOX3H",2019-04-29 08:31:11,0,fatmaaatemel,378,adana,[]
9,1122780336209969154,"Nerede Hata Yaptık? 
....
5)Her işi çocuklar adına kendimiz yaparak özgüvenlerini yok ettik. 

6)Çocuğun yanında sü… https://t.co/3Y40zKKnoi",2019-04-29 08:31:07,0,mhmmdokurr,145,"Selçuklu, Konya",[]
10,1122780333659840512,"RT @afillikanarya: Günaydın dünyayı sevgi kurtaracak 😌 Öğretmenimm,ellerinden öperim.
#Pazartesi https://t.co/iSn0sQTPl6",2019-04-29 08:31:06,60,susaaam,1,,"[{'text': 'Pazartesi', 'indices': [86, 96]}]"
11,1122780325032148992,"Sevmesi, insanın kendine yenik düşmesidir,                                                                       Ey… https://t.co/AeIrp9qyaR",2019-04-29 08:31:04,0,deniz_zoza,31583,Türkiye,[]
12,1122780322729537536,"RT @hulyayurt_: Böyle zalimlere karşı Hakk’ı haykırdığı için vallahi en büyük mücahittir !

En büyük cihadı yapıyor kardeşimiz.

#pazartesi…",2019-04-29 08:31:03,40,nsnrgzze,78,,"[{'text': 'pazartesi', 'indices': [129, 139]}]"
13,1122780319562776576,"RT @onderihl: Hayırlı Haftalar, 
Bereketli işleriniz olsun... 🙂

#Pazartesi https://t.co/mOYqS4nutW",2019-04-29 08:31:03,2,genconderharran,59,,"[{'text': 'Pazartesi', 'indices': [65, 75]}]"
14,1122780297941135360,"RT @dirilistrky: Unutulmayacak eşsiz zafer #KutülAmare 

Kut’ül Amare Zaferi’nin 103. yıl
dönümünde tüm şehitlerimizi saygı
ve minnetle anı…",2019-04-29 08:30:57,12,ynsemreavc,159,"Gaziantep, Türkiye","[{'text': 'KutülAmare', 'indices': [43, 54]}]"
15,1122780297358082048,#pazartesi Unutmayın hem cinslerim resimlerini gördüğümüz o süslü püslü kadınlar aslında gerçek hayatta sümük atıla… https://t.co/Gbfov2VSRy,2019-04-29 08:30:57,0,MatemiDem,332,"Sakarya, Türkiye","[{'text': 'pazartesi', 'indices': [0, 10]}]"
16,1122780276676022272,"""Her kimki kabul etmişse Demokrasi denen İlmi Yunan'ı,Bilsinki inkar etmiştir Nur-u Kur'an'ı""demiş şair..İslâm ile… https://t.co/fe93asrbnD",2019-04-29 08:30:52,0,LouisLucero7,1,"Uşak, Türkiye",[]
17,1122780275992403969,Çikolatadan heykellerini güven içinde yapsınlar diye Atak-2 ağır saldırı helikopteri yapan vizyon sahibi savunma sa… https://t.co/hOSQv4NHpy,2019-04-29 08:30:52,0,BilgeKayserili,3189,Türkiye,[]
18,1122780274377535489,"RT @frknhc: ACİİİİİİİL ARKADAŞLAR ‼️⛔️

Paylaşalım lütfen 
#pazartesi https://t.co/lO4TR90ztI",2019-04-29 08:30:52,169,marksisteorili,252,,"[{'text': 'pazartesi', 'indices': [59, 69]}]"
19,1122780272141926400,"RT @dirilistrky: Unutulmayacak eşsiz zafer #KutülAmare 

Kut’ül Amare Zaferi’nin 103. yıl
dönümünde tüm şehitlerimizi saygı
ve minnetle anı…",2019-04-29 08:30:51,12,15_temmuz15,13235,,"[{'text': 'KutülAmare', 'indices': [43, 54]}]"
20,1122780267763130368,"RT @askbeyiserkn: #guenaydınlar
#Pazartesi
#mutluhaftalar
#DOSTLAR

#ŞuSaattenSonra
#ask
#ve
#sevgili

Gece vugun yedim
Sol yanım dan
Yoklu…",2019-04-29 08:30:50,2,BeySaygili,1424,Türkiye,"[{'text': 'guenaydınlar', 'indices': [18, 31]}, {'text': 'Pazartesi', 'indices': [32, 42]}, {'text': 'mutluhaftalar', 'indices': [43, 57]}, {'text': 'DOSTLAR', 'indices': [58, 66]}, {'text': 'ŞuSaattenSonra', 'indices': [68, 83]}, {'text': 'ask', 'indices': [84, 88]}, {'text': 've', 'indices': [89, 92]}, {'text': 'sevgili', 'indices': [93, 101]}]"
21,1122780256052576256,"RT @ibrahimAtaman54: Günaydın hayırlı sabahlar 

Güne nasıl başlarsan öyle devam eder.... 

Güzel bir gün hayır duaları ile başlar.

Allah…",2019-04-29 08:30:47,1,_HuseyinColak,388,,[]
22,1122780247924064256,"RT @gul1903_Asl: Bazen gidemediğiniz yerlere
      dalar gidersiniz...
Bazen de bir papatya kokusuna,
   sığdırırsınız hayallerinizi...😌

#…",2019-04-29 08:30:46,52,YazKzm11,349,ʟüȶʄɛռ ɖʍ ʏǟʐʍǟʏıռ,[]
23,1122780234741440512,"RT @UkAlAcAdI_: Atatürk’ü sevmiyorlar diye moralimi bozmuyorum, 
Çünkü #Atatürk’ü sevmek derin bir anlayış, keskin bir idrak yeteneği, müth…",2019-04-29 08:30:42,49,AhmetttCaliskan,5073," İstanbul, TR ","[{'text': 'Atatürk', 'indices': [71, 79]}]"
24,1122780221667729408,"RT @reiscisezo: Bütün Şehid Yakınlarının
PKK terör örgütünü ve Teröristleri  Övdüğü İçin
Canan Kaftancıoğlu'na Dava Açma Hakları Vardır...,…",2019-04-29 08:30:39,4,reiscisezo,6188,63,[]
