,id,text,created_at,retweet_count,user_screen_name,user_followers_count,user_location,Hashtags
0,1379019667906437120,RT @muhammedalisma: Bogazında delik var tükürügü burnundan geliyor suyun mamanın sütün tadını bilmiyor ama umutla bakıyor bizim bir umudumu…,2021-04-05 10:34:44,197,Zeynepz34660667,1456,Germany,[]
1,1379019314108436484,Sergen Yalçın: Kim atıyorsa cevabını vermeli!.. https://t.co/yG51ZbHMcB @Besiktas #Beşiktaş,2021-04-05 10:33:20,0,besiktascomtr,80691,"Beşiktaş, çArşı, İstanbul","[{'text': 'Beşiktaş', 'indices': [82, 91]}]"
2,1379019287784984581,"Sn #TFF ve #MHK yönetimi Çarşamba günü #Beşiktaş Alanyaspor maçına, Halil Umut Meler'in verilmesini bekliyoruz!..
U… https://t.co/4S32F4ZOXY",2021-04-05 10:33:13,0,arslanmcemal,4903,,"[{'text': 'TFF', 'indices': [3, 7]}, {'text': 'MHK', 'indices': [11, 15]}, {'text': 'Beşiktaş', 'indices': [39, 48]}]"
3,1379019159292551169,@Besiktas Beşiktaş kim yanlış yaptıysa bedelini ağır öder bu saatten SONRA #mhkistifa #Mhk #TFFdenUmutOperasyonu #TFF #besiktas @Besiktas,2021-04-05 10:32:43,0,tolgahanpolat75,2,"İstanbul, Türkiye","[{'text': 'mhkistifa', 'indices': [75, 85]}, {'text': 'Mhk', 'indices': [86, 90]}, {'text': 'TFFdenUmutOperasyonu', 'indices': [91, 112]}, {'text': 'TFF', 'indices': [113, 117]}, {'text': 'besiktas', 'indices': [118, 127]}]"
4,1379019074794090497,"RT @osmanulusoy006: Alllah rahmet eylesin
Mekanın cennet olsun güzel insan
Doğum günün kutlu olsun.
Beşiktaş'ı çok üzüyorlar be efsane başk…",2021-04-05 10:32:23,18,kilit_alper,7289,"Antalya, Türkiye",[]
5,1379018950936256513,"SÜPER LİG 33. HAFTA HAKEMLERİ
@futbolmemes_ #bitcicoin 
#beşiktaş #fenerbahçe #başakşehir #alanyaspor #ümitöztürk… https://t.co/qJtk86hcAJ",2021-04-05 10:31:53,0,futbolmemes_,1,,"[{'text': 'bitcicoin', 'indices': [44, 54]}, {'text': 'beşiktaş', 'indices': [56, 65]}, {'text': 'fenerbahçe', 'indices': [66, 77]}, {'text': 'başakşehir', 'indices': [78, 89]}, {'text': 'alanyaspor', 'indices': [90, 101]}, {'text': 'ümitöztürk', 'indices': [102, 113]}]"
6,1379018776943943685,Spor yorumcusu Bülent Uslu (@bulentuslu1903)'dan Kasımpaşa - Beşiktaş maçının hakemi olan Halil Umut Meler'e çok se… https://t.co/e57AdlfyaM,2021-04-05 10:31:12,0,timeturk,22038,"İstanbul, Türkiye",[]
7,1379018430066651139,"RT @halktvcomtr: Kasımpaşa-#Beşiktaş karşılaşmasında ilk 11'ler belli oldu!
Sergen Yalçın'dan sürpriz isim!
https://t.co/3lKC6KdDdp https:/…",2021-04-05 10:29:49,2,Mmtaz55336000,5,,"[{'text': 'Beşiktaş', 'indices': [27, 36]}]"
8,1379018392938680321,#Beşiktaş sonsuza kadar efsane 🙏 https://t.co/qNSXHoeMNK,2021-04-05 10:29:40,0,Bocek29N,734,,"[{'text': 'Beşiktaş', 'indices': [0, 9]}]"
9,1379018258611908608,"Beşiktaşımızın maçını Ümit Öztürk yönetecekmiş ADİL OL! 🖤🤍🦅
#besiktas #ümitöztürk https://t.co/O43sxljgUY",2021-04-05 10:29:08,0,RosierReyiz1903,26,,"[{'text': 'besiktas', 'indices': [60, 69]}, {'text': 'ümitöztürk', 'indices': [70, 81]}]"
