,text
0,RT @muhammedalisma: Bogazında delik var tükürügü burnundan geliyor suyun mamanın sütün tadını bilmiyor ama umutla bakıyor bizim bir umudumu…
1,Sergen Yalçın: Kim atıyorsa cevabını vermeli!.. https://t.co/yG51ZbHMcB @Besiktas #Beşiktaş
2,"Sn #TFF ve #MHK yönetimi Çarşamba günü #Beşiktaş Alanyaspor maçına, Halil Umut Meler'in verilmesini bekliyoruz!..
U… https://t.co/4S32F4ZOXY"
3,@Besiktas Beşiktaş kim yanlış yaptıysa bedelini ağır öder bu saatten SONRA #mhkistifa #Mhk #TFFdenUmutOperasyonu #TFF #besiktas @Besiktas
4,"RT @osmanulusoy006: Alllah rahmet eylesin
Mekanın cennet olsun güzel insan
Doğum günün kutlu olsun.
Beşiktaş'ı çok üzüyorlar be efsane başk…"
5,"SÜPER LİG 33. HAFTA HAKEMLERİ
@futbolmemes_ #bitcicoin 
#beşiktaş #fenerbahçe #başakşehir #alanyaspor #ümitöztürk… https://t.co/qJtk86hcAJ"
6,Spor yorumcusu Bülent Uslu (@bulentuslu1903)'dan Kasımpaşa - Beşiktaş maçının hakemi olan Halil Umut Meler'e çok se… https://t.co/e57AdlfyaM
7,"RT @halktvcomtr: Kasımpaşa-#Beşiktaş karşılaşmasında ilk 11'ler belli oldu!
Sergen Yalçın'dan sürpriz isim!
https://t.co/3lKC6KdDdp https:/…"
8,#Beşiktaş sonsuza kadar efsane 🙏 https://t.co/qNSXHoeMNK
9,"Beşiktaşımızın maçını Ümit Öztürk yönetecekmiş ADİL OL! 🖤🤍🦅
#besiktas #ümitöztürk https://t.co/O43sxljgUY"
